AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	2785.97	2785.97	-5.92	16.42	15.71	40.86
2.00	2785.96	2785.96	-11.84	16.52	15.78	40.68
3.00	2785.94	2785.94	-17.76	16.62	15.85	40.51
4.00	2785.91	2785.91	-23.68	16.72	15.92	40.33
5.00	2785.88	2785.88	-29.60	16.82	15.98	40.15
6.00	2785.84	2785.84	-35.52	16.92	16.05	39.98
7.00	2785.79	2785.79	-41.44	17.02	16.12	39.80
8.00	2785.74	2785.74	-47.36	17.12	16.20	39.63
9.00	2785.67	2785.67	-53.28	17.22	16.27	39.46
10.00	2785.60	2785.60	-59.20	17.33	16.34	39.29
11.00	2785.53	2785.53	-65.12	17.62	16.32	39.03
12.00	2785.44	2785.44	-71.03	17.96	16.27	38.75
13.00	2785.35	2785.35	-76.95	18.30	16.23	38.47
14.00	2785.25	2785.25	-82.87	18.63	16.19	38.20
15.00	2785.14	2785.14	-88.79	18.97	16.15	37.93
16.00	2785.03	2785.03	-94.71	19.31	16.10	37.65
17.00	2784.91	2784.91	-100.62	19.64	16.06	37.38
18.00	2784.78	2784.78	-106.54	19.98	16.01	37.11
19.00	2784.64	2784.64	-112.46	20.32	15.96	36.84
20.00	2784.50	2784.50	-118.37	20.67	15.92	36.60
21.00	2784.34	2784.34	-124.29	21.09	15.91	36.52
22.00	2784.19	2784.19	-130.21	21.51	15.90	36.44
23.00	2784.02	2784.02	-136.12	21.92	15.89	36.35
24.00	2783.85	2783.85	-142.04	22.34	15.88	36.27
25.00	2783.66	2783.66	-147.95	22.75	15.87	36.18
26.00	2783.48	2783.48	-153.87	23.15	15.86	36.10
27.00	2783.28	2783.28	-159.78	23.56	15.86	36.01
28.00	2783.08	2783.08	-165.69	23.96	15.85	35.92
29.00	2782.87	2782.87	-171.61	24.36	15.84	35.83
30.00	2782.65	2782.65	-177.52	24.68	15.94	35.80
31.00	2782.42	2782.42	-183.43	24.93	16.13	35.84
32.00	2782.19	2782.19	-189.34	25.18	16.32	35.88
33.00	2781.95	2781.95	-195.25	25.43	16.52	35.92
34.00	2781.70	2781.70	-201.16	25.68	16.72	35.96
35.00	2781.45	2781.45	-207.07	25.93	16.91	36.00
36.00	2781.19	2781.19	-212.98	26.18	17.11	36.04
37.00	2780.92	2780.92	-218.89	26.44	17.32	36.07
38.00	2780.64	2780.64	-224.79	26.69	17.52	36.11
39.00	2780.36	2780.36	-230.70	26.94	17.72	36.14
40.00	2780.07	2780.07	-236.60	27.24	17.73	36.18
41.00	2779.77	2779.77	-242.51	27.54	17.70	36.23
42.00	2779.46	2779.46	-248.41	27.85	17.67	36.27
43.00	2779.15	2779.15	-254.32	28.16	17.64	36.32
44.00	2778.83	2778.83	-260.22	28.47	17.61	36.37
45.00	2778.50	2778.50	-266.12	28.78	17.59	36.43
46.00	2778.16	2778.16	-272.02	29.09	17.56	36.48
47.00	2777.82	2777.82	-277.93	29.41	17.54	36.54
48.00	2777.47	2777.47	-283.83	29.72	17.51	36.60
49.00	2777.11	2777.11	-289.72	30.05	17.49	36.66
50.00	2776.74	2776.74	-295.62	30.50	17.47	36.74
51.00	2776.37	2776.37	-301.52	30.96	17.45	36.82
52.00	2775.99	2775.99	-307.41	31.41	17.43	36.90
53.00	2775.60	2775.60	-313.31	31.87	17.40	36.98
54.00	2775.21	2775.21	-319.20	32.33	17.37	37.06
55.00	2774.81	2774.81	-325.10	32.79	17.33	37.14
56.00	2774.40	2774.40	-330.99	33.25	17.29	37.22
57.00	2773.98	2773.98	-336.88	33.72	17.25	37.30
58.00	2773.56	2773.56	-342.77	34.19	17.20	37.38
59.00	2773.13	2773.13	-348.66	34.68	17.28	37.50
60.00	2772.69	2772.69	-354.55	35.19	17.52	37.66
61.00	2772.24	2772.24	-360.43	35.71	17.76	37.82
62.00	2771.79	2771.79	-366.32	36.22	17.99	37.97
63.00	2771.33	2771.33	-372.20	36.74	18.22	38.12
64.00	2770.86	2770.86	-378.09	37.26	18.45	38.27
65.00	2770.38	2770.38	-383.97	37.78	18.68	38.40
66.00	2769.90	2769.90	-389.85	38.30	18.91	38.54
67.00	2769.41	2769.41	-395.73	38.83	19.13	38.67
68.00	2768.91	2768.91	-401.61	39.35	19.36	38.79
69.00	2768.41	2768.41	-407.49	39.72	19.54	38.85
70.00	2767.90	2767.90	-413.37	40.02	19.70	38.89
71.00	2767.38	2767.38	-419.24	40.32	19.87	38.93
72.00	2766.85	2766.85	-425.11	40.62	20.03	38.96
73.00	2766.32	2766.32	-430.99	40.92	20.20	38.99
74.00	2765.77	2765.77	-436.86	41.22	20.36	39.02
75.00	2765.23	2765.23	-442.73	41.51	20.53	39.04
76.00	2764.67	2764.67	-448.60	41.81	20.69	39.06
77.00	2764.11	2764.11	-454.46	42.10	20.85	39.08
78.00	2763.53	2763.53	-460.33	42.40	21.02	39.09
79.00	2762.96	2762.96	-466.19	42.93	21.13	39.04
80.00	2762.37	2762.37	-472.06	43.47	21.24	38.99
81.00	2761.78	2761.78	-477.92	44.02	21.35	38.93
82.00	2761.18	2761.18	-483.78	44.57	21.47	38.89
83.00	2760.57	2760.57	-489.64	45.13	21.59	38.86
84.00	2759.95	2759.95	-495.50	45.68	21.70	38.83
85.00	2759.33	2759.33	-501.35	46.24	21.80	38.80
86.00	2758.71	2758.71	-507.21	46.79	21.91	38.77
87.00	2758.07	2758.07	-513.06	47.35	22.01	38.74
88.00	2757.42	2757.42	-518.91	47.89	22.13	38.75
89.00	2756.77	2756.77	-524.76	48.35	22.34	38.93
90.00	2756.11	2756.11	-530.60	48.80	22.57	39.10
91.00	2755.45	2755.45	-536.45	49.25	22.79	39.27
92.00	2754.77	2754.77	-542.30	49.68	23.03	39.43
93.00	2754.09	2754.09	-548.14	50.11	23.27	39.59
94.00	2753.41	2753.41	-553.98	50.54	23.51	39.74
95.00	2752.71	2752.71	-559.82	50.95	23.76	39.89
96.00	2752.01	2752.01	-565.66	51.36	24.01	40.03
97.00	2751.30	2751.30	-571.49	51.76	24.27	40.17
98.00	2750.58	2750.58	-577.33	52.16	24.41	40.28
99.00	2749.86	2749.86	-583.16	52.57	24.38	40.39
100.00	2749.13	2749.13	-588.99	52.98	24.35	40.49
101.00	2748.39	2748.39	-594.82	53.39	24.31	40.60
102.00	2747.64	2747.64	-600.65	53.81	24.28	40.70
103.00	2746.89	2746.89	-606.47	54.23	24.24	40.81
104.00	2746.13	2746.13	-612.30	54.65	24.21	40.92
105.00	2745.36	2745.36	-618.12	55.08	24.17	41.03
106.00	2744.59	2744.59	-623.94	55.51	24.14	41.14
107.00	2743.80	2743.80	-629.76	55.95	24.10	41.25
108.00	2743.01	2743.01	-635.57	56.32	24.31	41.37
109.00	2742.22	2742.22	-641.39	56.67	24.68	41.50
110.00	2741.41	2741.41	-647.20	57.00	25.06	41.65
111.00	2740.60	2740.60	-653.01	57.33	25.42	41.81
112.00	2739.78	2739.78	-658.82	57.66	25.79	41.96
113.00	2738.96	2738.96	-664.62	57.99	26.14	42.12
114.00	2738.12	2738.12	-670.43	58.32	26.49	42.28
115.00	2737.28	2737.28	-676.23	58.65	26.83	42.43
116.00	2736.44	2736.44	-682.03	58.97	27.17	42.59
117.00	2735.58	2735.58	-687.83	59.30	27.50	42.75
118.00	2734.72	2734.72	-693.62	59.57	27.66	42.94
119.00	2733.85	2733.85	-699.42	59.83	27.76	43.14
120.00	2732.97	2732.97	-705.21	60.09	27.88	43.34
121.00	2732.09	2732.09	-711.00	60.35	28.00	43.54
122.00	2731.20	2731.20	-716.79	60.63	28.14	43.75
123.00	2730.30	2730.30	-722.57	60.91	28.27	43.95
124.00	2729.40	2729.40	-728.35	61.19	28.42	44.15
