AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	0.00	3939.99	-5.92	3.23	11.09	50.28
2.00	0.00	3939.98	-11.84	3.09	10.85	50.29
3.00	0.00	3939.95	-17.76	2.96	10.62	50.30
4.00	0.00	3939.92	-23.68	2.83	10.38	50.31
5.00	0.00	3939.87	-29.60	2.70	10.15	50.33
6.00	0.00	3939.81	-35.52	2.57	9.92	50.34
7.00	0.00	3939.74	-41.44	2.44	9.69	50.36
8.00	0.00	3939.67	-47.36	2.31	9.46	50.38
9.00	0.00	3939.58	-53.28	2.19	9.23	50.40
10.00	0.00	3939.48	-59.20	2.07	9.00	50.42
11.00	0.00	3939.37	-65.12	2.37	9.01	50.27
12.00	0.00	3939.25	-71.03	2.74	9.05	50.08
13.00	0.00	3939.12	-76.95	3.11	9.10	49.90
14.00	0.00	3938.97	-82.87	3.48	9.14	49.72
15.00	0.00	3938.82	-88.79	3.86	9.19	49.54
16.00	0.00	3938.66	-94.71	4.23	9.23	49.36
17.00	0.00	3938.49	-100.62	4.60	9.27	49.18
18.00	0.00	3938.31	-106.54	4.96	9.31	49.00
19.00	0.00	3938.11	-112.46	5.33	9.35	48.83
20.00	0.00	3937.91	-118.37	5.64	9.41	48.65
21.00	0.00	3937.70	-124.29	5.69	9.56	48.44
22.00	0.00	3937.47	-130.21	5.75	9.72	48.24
23.00	0.00	3937.24	-136.12	5.80	9.87	48.04
24.00	0.00	3936.99	-142.04	5.86	10.02	47.83
25.00	0.00	3936.74	-147.95	5.91	10.17	47.63
26.00	0.00	3936.47	-153.87	5.97	10.32	47.43
27.00	0.00	3936.19	-159.78	6.02	10.47	47.22
28.00	0.00	3935.91	-165.69	6.07	10.62	47.01
29.00	0.00	3935.61	-171.61	6.13	10.77	46.81
30.00	0.00	3935.30	-177.52	5.99	10.97	46.79
31.00	0.00	3934.98	-183.43	5.66	11.24	46.95
32.00	0.00	3934.65	-189.34	5.35	11.51	47.12
33.00	0.00	3934.31	-195.25	5.03	11.78	47.29
34.00	0.00	3933.96	-201.16	4.72	12.04	47.47
35.00	0.00	3933.60	-207.07	4.41	12.32	47.65
36.00	0.00	3933.23	-212.98	4.10	12.59	47.82
37.00	0.00	3932.85	-218.89	3.80	12.86	48.01
38.00	0.00	3932.46	-224.79	3.50	13.14	48.19
39.00	0.00	3932.06	-230.70	3.20	13.41	48.38
40.00	0.00	3931.65	-236.60	3.12	13.44	48.11
41.00	0.00	3931.22	-242.51	3.07	13.41	47.76
42.00	0.00	3930.79	-248.41	3.02	13.40	47.42
43.00	0.00	3930.34	-254.32	2.97	13.38	47.09
44.00	0.00	3929.89	-260.22	2.91	13.38	46.77
45.00	0.00	3929.43	-266.12	2.84	13.38	46.45
46.00	0.00	3928.95	-272.02	2.78	13.38	46.15
47.00	0.00	3928.47	-277.93	2.70	13.39	45.86
48.00	0.00	3927.97	-283.83	2.63	13.40	45.58
49.00	0.00	3927.47	-289.72	2.58	13.46	45.38
50.00	0.00	3926.95	-295.62	2.73	13.71	45.53
51.00	0.00	3926.42	-301.52	2.87	13.95	45.68
52.00	0.00	3925.88	-307.41	3.01	14.18	45.83
53.00	0.00	3925.34	-313.31	3.14	14.41	45.98
54.00	0.00	3924.78	-319.20	3.26	14.63	46.13
55.00	0.00	3924.21	-325.10	3.38	14.85	46.28
56.00	0.00	3923.63	-330.99	3.49	15.05	46.42
57.00	0.00	3923.04	-336.88	3.60	15.25	46.56
58.00	0.00	3922.44	-342.77	3.70	15.44	46.70
59.00	0.00	3921.83	-348.66	3.87	15.59	46.71
60.00	0.00	3921.21	-354.55	4.13	15.68	46.57
61.00	0.00	3920.58	-360.43	4.41	15.78	46.43
62.00	0.00	3919.94	-366.32	4.69	15.88	46.30
63.00	0.00	3919.29	-372.20	4.99	15.99	46.17
64.00	0.00	3918.63	-378.09	5.30	16.10	46.05
65.00	0.00	3917.95	-383.97	5.62	16.22	45.94
66.00	0.00	3917.27	-389.85	5.95	16.34	45.83
67.00	0.00	3916.58	-395.73	6.29	16.47	45.74
68.00	0.00	3915.87	-401.61	6.65	16.60	45.64
69.00	0.00	3915.16	-407.49	6.80	16.65	45.52
70.00	0.00	3914.43	-413.37	6.88	16.68	45.38
71.00	0.00	3913.70	-419.24	6.96	16.71	45.23
72.00	0.00	3912.95	-425.11	7.05	16.74	45.07
73.00	0.00	3912.20	-430.99	7.15	16.79	44.89
74.00	0.00	3911.43	-436.86	7.26	16.84	44.71
75.00	0.00	3910.66	-442.73	7.38	16.90	44.51
76.00	0.00	3909.87	-448.60	7.51	16.96	44.30
77.00	0.00	3909.07	-454.46	7.64	17.04	44.08
78.00	0.00	3908.27	-460.33	7.78	17.12	43.85
79.00	0.00	3907.45	-466.19	7.59	17.33	43.80
80.00	0.00	3906.62	-472.06	7.38	17.54	43.77
81.00	0.00	3905.78	-477.92	7.16	17.75	43.73
82.00	0.00	3904.93	-483.78	6.93	17.96	43.70
83.00	0.00	3904.07	-489.64	6.69	18.17	43.67
84.00	0.00	3903.20	-495.50	6.45	18.38	43.64
85.00	0.00	3902.32	-501.35	6.19	18.60	43.62
86.00	0.00	3901.43	-507.21	5.93	18.81	43.60
87.00	0.00	3900.54	-513.06	5.65	19.02	43.58
