AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
106.00	0.00	3881.47	-623.94	8.80	39.39	87.84
107.00	0.00	3880.36	-629.76	8.85	39.37	87.71
108.00	0.00	3879.25	-635.57	8.83	39.54	87.63
109.00	0.00	3878.12	-641.39	8.76	39.81	87.58
110.00	0.00	3876.98	-647.20	8.70	40.06	87.51
111.00	0.00	3875.83	-653.01	8.65	40.30	87.43
112.00	0.00	3874.68	-658.82	8.60	40.52	87.33
113.00	0.00	3873.51	-664.62	8.56	40.73	87.22
114.00	0.00	3872.33	-670.43	8.52	40.93	87.09
115.00	0.00	3871.14	-676.23	8.49	41.11	86.95
116.00	0.00	3869.94	-682.03	8.47	41.28	86.79
117.00	0.00	3868.73	-687.83	8.45	41.43	86.61
118.00	0.00	3867.51	-693.62	8.59	41.82	86.52
119.00	0.00	3866.28	-699.42	8.77	42.28	86.47
120.00	0.00	3865.05	-705.21	8.96	42.75	86.42
121.00	0.00	3863.80	-711.00	9.14	43.21	86.36
122.00	0.00	3862.54	-716.79	9.31	43.67	86.30
123.00	0.00	3861.27	-722.57	9.49	44.13	86.24
124.00	0.00	3859.98	-728.35	9.66	44.59	86.17
125.00	0.00	3858.69	-734.13	9.82	45.05	86.11
126.00	0.00	3857.39	-739.91	9.99	45.51	86.04
127.00	0.00	3856.08	-745.69	10.15	45.96	85.97
128.00	0.00	3854.76	-751.46	10.33	45.95	85.58
129.00	0.00	3853.43	-757.24	10.51	45.86	85.16
130.00	0.00	3852.09	-763.01	10.68	45.78	84.76
131.00	0.00	3850.74	-768.77	10.84	45.70	84.37
132.00	0.00	3849.38	-774.54	10.99	45.62	83.99
133.00	0.00	3848.00	-780.30	11.14	45.54	83.63
134.00	0.00	3846.62	-786.06	11.27	45.46	83.28
135.00	0.00	3845.23	-791.82	11.40	45.38	82.94
136.00	0.00	3843.83	-797.57	11.51	45.30	82.62
137.00	0.00	3842.41	-803.33	11.62	45.22	82.32
138.00	0.00	3840.99	-809.07	11.91	45.53	82.40
139.00	0.00	3839.56	-814.82	12.21	45.86	82.49
140.00	0.00	3838.12	-820.57	12.51	46.18	82.56
141.00	0.00	3836.66	-826.31	12.81	46.50	82.62
142.00	0.00	3835.20	-832.05	13.11	46.81	82.66
143.00	0.00	3833.72	-837.79	13.42	47.13	82.68
144.00	0.00	3832.24	-843.53	13.73	47.44	82.69
145.00	0.00	3830.75	-849.26	14.03	47.74	82.69
146.00	0.00	3829.24	-854.99	14.34	48.05	82.67
147.00	0.00	3827.73	-860.71	14.67	48.35	82.66
148.00	0.00	3826.20	-866.44	14.54	48.46	82.73
149.00	0.00	3824.67	-872.16	14.42	48.58	82.80
150.00	0.00	3823.13	-877.88	14.31	48.71	82.89
151.00	0.00	3821.57	-883.60	14.22	48.86	82.98
152.00	0.00	3820.01	-889.31	14.14	49.01	83.08
153.00	0.00	3818.43	-895.02	14.07	49.18	83.19
154.00	0.00	3816.85	-900.73	14.02	49.36	83.30
155.00	0.00	3815.25	-906.44	13.99	49.55	83.42
156.00	0.00	3813.65	-912.14	13.96	49.75	83.55
157.00	0.00	3812.03	-917.84	13.95	49.97	83.69
158.00	0.00	3810.41	-923.54	14.14	50.04	83.42
159.00	0.00	3808.77	-929.23	14.32	50.13	83.16
160.00	0.00	3807.13	-934.93	14.51	50.23	82.91
161.00	0.00	3805.47	-940.62	14.69	50.36	82.68
162.00	0.00	3803.81	-946.30	14.87	50.51	82.46
163.00	0.00	3802.13	-951.99	15.05	50.68	82.25
164.00	0.00	3800.45	-957.67	15.23	50.87	82.06
165.00	0.00	3798.75	-963.34	15.40	51.08	81.87
166.00	0.00	3797.05	-969.02	15.57	51.31	81.71
167.00	0.00	3795.33	-974.69	15.75	51.56	81.55
168.00	0.00	3793.61	-980.36	15.88	51.77	81.36
169.00	0.00	3791.87	-986.03	16.00	51.95	81.16
170.00	0.00	3790.13	-991.69	16.12	52.13	80.94
171.00	0.00	3788.37	-997.35	16.22	52.28	80.72
172.00	0.00	3786.60	-1003.00	16.32	52.42	80.49
173.00	0.00	3784.83	-1008.66	16.41	52.54	80.24
174.00	0.00	3783.04	-1014.31	16.50	52.64	79.99
175.00	0.00	3781.25	-1019.96	16.58	52.72	79.73
176.00	0.00	3779.44	-1025.60	16.65	52.79	79.45
177.00	0.00	3777.63	-1031.24	16.71	52.84	79.17
178.00	0.00	3775.80	-1036.88	17.04	52.97	79.10
179.00	0.00	3773.97	-1042.51	17.45	53.13	79.07
180.00	0.00	3772.12	-1048.15	17.88	53.28	79.02
181.00	0.00	3770.27	-1053.78	18.32	53.38	78.98
182.00	0.00	3768.40	-1059.40	18.74	53.44	78.95
183.00	0.00	3766.53	-1065.02	19.15	53.49	78.91
184.00	0.00	3764.64	-1070.64	19.55	53.52	78.87
185.00	0.00	3762.75	-1076.26	19.93	53.55	78.81
186.00	0.00	3760.85	-1081.87	20.31	53.56	78.75
187.00	0.00	3758.93	-1087.48	20.68	53.56	78.68
188.00	0.00	3757.01	-1093.08	20.88	53.73	78.72
189.00	0.00	3755.07	-1098.69	20.97	54.01	78.82
190.00	0.00	3753.13	-1104.29	21.05	54.29	78.92
191.00	0.00	3751.18	-1109.88	21.12	54.58	79.01
192.00	0.00	3749.21	-1115.47	21.19	54.87	79.10
193.00	0.00	3747.24	-1121.06	21.25	55.17	79.18
194.00	0.00	3745.25	-1126.65	21.31	55.47	79.25
195.00	0.00	3743.26	-1132.23	21.36	55.78	79.32
196.00	0.00	3741.26	-1137.81	21.39	56.09	79.38
197.00	0.00	3739.24	-1143.38	21.43	56.41	79.43
198.00	0.00	3737.22	-1148.96	21.47	56.58	79.36
199.00	0.00	3735.19	-1154.53	21.55	56.53	79.12
200.00	0.00	3733.15	-1160.09	21.64	56.50	78.89
201.00	0.00	3731.09	-1165.65	21.74	56.48	78.65
202.00	0.00	3729.03	-1171.21	21.84	56.47	78.43
203.00	0.00	3726.96	-1176.76	21.96	56.48	78.20
204.00	0.00	3724.88	-1182.31	22.08	56.50	77.99
205.00	0.00	3722.79	-1187.86	22.21	56.54	77.77
206.00	0.00	3720.69	-1193.40	22.35	56.59	77.56
207.00	0.00	3718.57	-1198.94	22.50	56.66	77.35
208.00	0.00	3716.45	-1204.48	22.65	56.73	77.15
209.00	0.00	3714.32	-1210.01	22.72	56.81	76.90
210.00	0.00	3712.18	-1215.54	22.75	56.97	76.60
211.00	0.00	3710.03	-1221.06	22.79	57.12	76.32
212.00	0.00	3707.87	-1226.59	22.85	57.26	76.04
213.00	0.00	3705.70	-1232.10	22.92	57.39	75.78
214.00	0.00	3703.52	-1237.61	23.00	57.52	75.53
215.00	0.00	3701.33	-1243.13	23.10	57.64	75.28
216.00	0.00	3699.13	-1248.63	23.22	57.75	75.05
217.00	0.00	3696.92	-1254.13	23.35	57.86	74.84
218.00	0.00	3694.71	-1259.63	23.49	57.95	74.63
219.00	0.00	3692.48	-1265.13	23.58	58.16	74.50
220.00	0.00	3690.24	-1270.62	23.64	58.39	74.38
221.00	0.00	3687.99	-1276.11	23.71	58.62	74.23
222.00	0.00	3685.74	-1281.59	23.79	58.85	74.06
223.00	0.00	3683.47	-1287.07	23.88	59.06	73.86
224.00	0.00	3681.19	-1292.54	23.98	59.27	73.63
225.00	0.00	3678.91	-1298.01	24.09	59.48	73.38
226.00	0.00	3676.61	-1303.48	24.21	59.67	73.10
227.00	0.00	3674.31	-1308.94	24.33	59.87	72.79
228.00	0.00	3671.99	-1314.40	24.47	60.05	72.46
229.00	0.00	3669.66	-1319.86	24.62	60.14	72.18
230.00	0.00	3667.33	-1325.31	24.78	60.04	72.12
231.00	0.00	3664.99	-1330.76	24.94	59.96	72.11
232.00	0.00	3662.64	-1336.20	25.09	59.89	72.15
233.00	0.00	3660.27	-1341.64	25.22	59.85	72.23
234.00	0.00	3657.90	-1347.08	25.35	59.84	72.36
235.00	0.00	3655.52	-1352.51	25.42	59.76	72.54
236.00	0.00	3653.12	-1357.93	25.46	59.64	72.72
237.00	0.00	3650.72	-1363.35	25.51	59.52	72.86
238.00	0.00	3648.31	-1368.77	25.57	59.41	72.96
239.00	0.00	3645.89	-1374.19	25.63	59.29	73.04
240.00	0.00	3643.46	-1379.60	25.74	59.34	72.81
241.00	0.00	3641.02	-1385.01	25.87	59.44	72.52
242.00	0.00	3638.57	-1390.41	26.01	59.57	72.24
243.00	0.00	3636.11	-1395.80	26.17	59.72	71.96
244.00	0.00	3633.65	-1401.20	26.35	59.90	71.69
245.00	0.00	3631.17	-1406.59	26.54	60.09	71.43
246.00	0.00	3628.68	-1411.97	26.75	60.31	71.18
247.00	0.00	3626.18	-1417.35	26.98	60.55	70.94
248.00	0.00	3623.68	-1422.73	27.22	60.81	70.71
249.00	0.00	3621.16	-1428.10	27.47	61.10	70.49
250.00	0.00	3618.63	-1433.47	27.74	61.38	70.29
251.00	0.00	3616.10	-1438.83	27.99	61.54	70.17
252.00	0.00	3613.56	-1444.19	28.25	61.71	70.06
253.00	0.00	3611.00	-1449.54	28.51	61.88	69.95
254.00	0.00	3608.44	-1454.89	28.78	62.07	69.84
255.00	0.00	3605.87	-1460.24	29.06	62.26	69.74
256.00	0.00	3603.28	-1465.58	29.34	62.47	69.64
257.00	0.00	3600.69	-1470.92	29.63	62.68	69.55
258.00	0.00	3598.09	-1476.25	29.85	62.86	69.45
259.00	0.00	3595.48	-1481.58	30.01	63.02	69.35
260.00	0.00	3592.86	-1486.90	30.15	63.19	69.25
261.00	0.00	3590.24	-1492.22	30.19	63.36	69.06
262.00	0.00	3587.60	-1497.53	30.15	63.52	68.78
263.00	0.00	3584.95	-1502.84	30.13	63.70	68.53
264.00	0.00	3582.29	-1508.15	30.11	63.88	68.32
265.00	0.00	3579.62	-1513.45	30.12	64.06	68.13
266.00	0.00	3576.95	-1518.74	30.13	64.26	67.98
267.00	0.00	3574.26	-1524.03	30.16	64.45	67.85
268.00	0.00	3571.57	-1529.32	30.21	64.66	67.76
269.00	0.00	3568.87	-1534.60	30.27	64.87	67.70
270.00	0.00	3566.15	-1539.88	30.34	65.08	67.67
271.00	0.00	3563.43	-1545.15	30.43	65.31	67.67
272.00	0.00	3560.70	-1550.42	30.51	65.36	67.70
