AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
2592.00	132.72	0.00	3331.79	-106.65	3.62	-219.69
2593.00	126.84	0.00	3332.90	-106.07	3.65	-219.41
2594.00	120.95	0.00	3333.99	-105.49	3.68	-219.10
2595.00	115.07	0.00	3335.07	-104.91	3.72	-218.80
2596.00	109.18	0.00	3336.15	-104.33	3.76	-218.49
2597.00	103.29	0.00	3337.21	-103.75	3.79	-218.19
2598.00	97.40	0.00	3338.27	-103.17	3.83	-217.89
2599.00	91.51	0.00	3339.31	-102.60	3.87	-217.59
2600.00	85.61	0.00	3340.34	-102.02	3.90	-217.29
2601.00	79.72	0.00	3341.37	-101.45	3.94	-217.00
2602.00	73.82	0.00	3342.38	-100.87	3.98	-216.70
2603.00	67.92	0.00	3343.38	-100.28	3.99	-216.40
2604.00	62.02	0.00	3344.37	-99.69	4.00	-216.10
2605.00	56.11	0.00	3345.35	-99.10	4.01	-215.80
2606.00	50.21	0.00	3346.33	-98.52	4.02	-215.51
2607.00	44.30	0.00	3347.29	-97.93	4.03	-215.23
2608.00	38.39	0.00	3348.24	-97.35	4.04	-214.94
2609.00	32.48	0.00	3349.18	-96.77	4.05	-214.67
2610.00	26.57	0.00	3350.11	-96.19	4.06	-214.39
2611.00	20.66	0.00	3351.03	-95.62	4.07	-214.12
2612.00	14.74	0.00	3351.95	-95.06	4.09	-213.82
2613.00	8.83	0.00	3352.85	-94.56	4.14	-213.45
2614.00	2.91	0.00	3353.74	-94.06	4.18	-213.09
2615.00	-3.01	0.00	3354.62	-93.55	4.23	-212.73
2616.00	-8.94	0.00	3355.49	-93.06	4.28	-212.37
2617.00	-14.86	0.00	3356.34	-92.56	4.32	-212.02
2618.00	-20.78	0.00	3357.20	-92.07	4.37	-211.67
2619.00	-26.71	0.00	3358.03	-91.58	4.42	-211.32
2620.00	-32.64	0.00	3358.86	-91.09	4.47	-210.98
2621.00	-38.56	0.00	3359.68	-90.60	4.52	-210.64
2622.00	-44.50	0.00	3360.49	-90.07	4.55	-210.27
2623.00	-50.43	0.00	3361.29	-89.51	4.59	-209.89
2624.00	-56.36	0.00	3362.08	-88.95	4.62	-209.51
2625.00	-62.30	0.00	3362.85	-88.40	4.65	-209.14
2626.00	-68.23	0.00	3363.62	-87.84	4.69	-208.76
2627.00	-74.17	0.00	3364.38	-87.29	4.72	-208.39
2628.00	-80.11	0.00	3365.13	-86.74	4.75	-208.02
2629.00	-86.05	0.00	3365.86	-86.18	4.78	-207.66
2630.00	-91.99	0.00	3366.59	-85.64	4.82	-207.30
2631.00	-97.93	0.00	3367.31	-85.09	4.85	-206.93
2632.00	-103.87	0.00	3368.01	-84.69	4.90	-206.47
2633.00	-109.82	0.00	3368.71	-84.28	4.94	-206.01
2634.00	-115.77	0.00	3369.39	-83.88	4.99	-205.54
2635.00	-121.71	0.00	3370.07	-83.48	5.04	-205.07
2636.00	-127.66	0.00	3370.73	-83.08	5.08	-204.61
2637.00	-133.61	0.00	3371.39	-82.68	5.13	-204.15
2638.00	-139.56	0.00	3372.03	-82.28	5.18	-203.71
2639.00	-145.51	0.00	3372.67	-81.87	5.22	-203.27
2640.00	-151.47	0.00	3373.29	-81.47	5.27	-202.84
2641.00	-157.42	0.00	3373.91	-81.01	5.33	-202.43
