AA	POS_X	POS_Y	POS_Z	B_X	B_Y	B_Z
1.00	3939.99	0.00	-5.92	-31.69	29.75	34.59
2.00	3939.98	0.00	-11.84	-31.34	29.52	34.21
3.00	3939.95	0.00	-17.76	-30.98	29.29	33.84
4.00	3939.92	0.00	-23.68	-30.63	29.06	33.46
5.00	3939.87	0.00	-29.60	-30.28	28.82	33.08
6.00	3939.81	0.00	-35.52	-29.93	28.59	32.71
7.00	3939.74	0.00	-41.44	-29.58	28.36	32.33
8.00	3939.67	0.00	-47.36	-29.23	28.13	31.96
9.00	3939.58	0.00	-53.28	-28.88	27.91	31.58
10.00	3939.48	0.00	-59.20	-28.53	27.68	31.20
11.00	3939.37	0.00	-65.12	-28.01	27.53	30.98
12.00	3939.25	0.00	-71.03	-27.47	27.40	30.78
13.00	3939.12	0.00	-76.95	-26.92	27.26	30.58
14.00	3938.97	0.00	-82.87	-26.38	27.13	30.38
15.00	3938.82	0.00	-88.79	-25.84	27.01	30.18
16.00	3938.66	0.00	-94.71	-25.30	26.88	29.98
17.00	3938.49	0.00	-100.62	-24.76	26.75	29.78
18.00	3938.31	0.00	-106.54	-24.22	26.63	29.58
19.00	3938.11	0.00	-112.46	-23.68	26.51	29.38
20.00	3937.91	0.00	-118.37	-23.13	26.39	29.17
21.00	3937.70	0.00	-124.29	-22.57	26.28	28.88
22.00	3937.47	0.00	-130.21	-22.01	26.17	28.59
23.00	3937.24	0.00	-136.12	-21.45	26.06	28.30
24.00	3936.99	0.00	-142.04	-20.88	25.94	28.01
25.00	3936.74	0.00	-147.95	-20.32	25.83	27.72
26.00	3936.47	0.00	-153.87	-19.76	25.71	27.43
27.00	3936.19	0.00	-159.78	-19.19	25.60	27.14
28.00	3935.91	0.00	-165.69	-18.62	25.48	26.85
29.00	3935.61	0.00	-171.61	-18.06	25.36	26.55
30.00	3935.30	0.00	-177.52	-17.30	25.27	26.27
31.00	3934.98	0.00	-183.43	-16.36	25.20	26.00
32.00	3934.65	0.00	-189.34	-15.43	25.13	25.73
33.00	3934.31	0.00	-195.25	-14.49	25.06	25.45
34.00	3933.96	0.00	-201.16	-13.55	24.98	25.18
35.00	3933.60	0.00	-207.07	-12.61	24.90	24.90
36.00	3933.23	0.00	-212.98	-11.67	24.83	24.61
37.00	3932.85	0.00	-218.89	-10.73	24.74	24.33
38.00	3932.46	0.00	-224.79	-9.78	24.66	24.04
39.00	3932.06	0.00	-230.70	-8.84	24.58	23.75
40.00	3931.65	0.00	-236.60	-7.70	24.43	23.36
41.00	3931.22	0.00	-242.51	-6.53	24.26	22.96
42.00	3930.79	0.00	-248.41	-5.36	24.09	22.56
43.00	3930.34	0.00	-254.32	-4.19	23.93	22.16
44.00	3929.89	0.00	-260.22	-3.02	23.76	21.77
45.00	3929.43	0.00	-266.12	-1.85	23.58	21.38
46.00	3928.95	0.00	-272.02	-0.68	23.41	20.99
47.00	3928.47	0.00	-277.93	0.48	23.24	20.60
48.00	3927.97	0.00	-283.83	1.65	23.06	20.22
49.00	3927.47	0.00	-289.72	2.82	22.91	19.87
50.00	3926.95	0.00	-295.62	4.06	22.88	19.71
51.00	3926.42	0.00	-301.52	5.29	22.86	19.55
52.00	3925.88	0.00	-307.41	6.53	22.83	19.39
53.00	3925.34	0.00	-313.31	7.76	22.80	19.23
54.00	3924.78	0.00	-319.20	8.99	22.77	19.07
55.00	3924.21	0.00	-325.10	10.22	22.74	18.91
56.00	3923.63	0.00	-330.99	11.45	22.70	18.75
57.00	3923.04	0.00	-336.88	12.68	22.67	18.59
58.00	3922.44	0.00	-342.77	13.90	22.63	18.44
59.00	3921.83	0.00	-348.66	15.17	22.51	18.34
60.00	3921.21	0.00	-354.55	16.49	22.29	18.33
61.00	3920.58	0.00	-360.43	17.81	22.07	18.32
62.00	3919.94	0.00	-366.32	19.13	21.86	18.31
63.00	3919.29	0.00	-372.20	20.46	21.65	18.31
64.00	3918.63	0.00	-378.09	21.79	21.45	18.31
65.00	3917.95	0.00	-383.97	23.12	21.26	18.31
66.00	3917.27	0.00	-389.85	24.45	21.07	18.31
67.00	3916.58	0.00	-395.73	25.78	20.88	18.32
68.00	3915.87	0.00	-401.61	27.12	20.71	18.34
69.00	3915.16	0.00	-407.49	28.50	20.34	18.28
70.00	3914.43	0.00	-413.37	29.91	19.90	18.19
71.00	3913.70	0.00	-419.24	31.32	19.46	18.09
72.00	3912.95	0.00	-425.11	32.73	19.02	18.00
73.00	3912.20	0.00	-430.99	34.15	18.58	17.91
74.00	3911.43	0.00	-436.86	35.58	18.13	17.81
75.00	3910.66	0.00	-442.73	37.02	17.68	17.72
76.00	3909.87	0.00	-448.60	38.46	17.22	17.62
77.00	3909.07	0.00	-454.46	39.91	16.77	17.52
78.00	3908.27	0.00	-460.33	41.37	16.31	17.43
79.00	3907.45	0.00	-466.19	42.83	16.33	17.55
80.00	3906.62	0.00	-472.06	44.29	16.36	17.68
81.00	3905.78	0.00	-477.92	45.76	16.39	17.83
82.00	3904.93	0.00	-483.78	47.19	16.44	17.98
83.00	3904.07	0.00	-489.64	48.60	16.49	18.13
84.00	3903.20	0.00	-495.50	50.01	16.54	18.27
85.00	3902.32	0.00	-501.35	51.42	16.59	18.42
86.00	3901.43	0.00	-507.21	52.83	16.63	18.56
87.00	3900.54	0.00	-513.06	54.25	16.66	18.71
88.00	3899.62	0.00	-518.91	55.64	16.69	18.75
89.00	3898.70	0.00	-524.76	56.95	16.71	18.45
90.00	3897.77	0.00	-530.60	58.29	16.71	18.14
91.00	3896.83	0.00	-536.45	59.64	16.71	17.83
92.00	3895.88	0.00	-542.30	61.02	16.70	17.52
93.00	3894.92	0.00	-548.14	62.41	16.69	17.21
94.00	3893.94	0.00	-553.98	63.83	16.67	16.89
95.00	3892.96	0.00	-559.82	65.27	16.64	16.57
96.00	3891.97	0.00	-565.66	66.73	16.60	16.25
97.00	3890.96	0.00	-571.49	68.21	16.56	15.93
98.00	3889.95	0.00	-577.33	69.63	16.55	15.79
99.00	3888.93	0.00	-583.16	70.94	16.59	15.89
100.00	3887.89	0.00	-588.99	72.23	16.64	16.00
101.00	3886.85	0.00	-594.82	73.51	16.70	16.11
102.00	3885.79	0.00	-600.65	74.77	16.77	16.23
103.00	3884.73	0.00	-606.47	76.02	16.85	16.36
104.00	3883.65	0.00	-612.30	77.25	16.94	16.49
105.00	3882.56	0.00	-618.12	78.46	17.04	16.63
106.00	3881.47	0.00	-623.94	79.66	17.15	16.78
107.00	3880.36	0.00	-629.76	80.84	17.27	16.93
108.00	3879.25	0.00	-635.57	81.56	17.13	17.14
109.00	3878.12	0.00	-641.39	81.98	16.82	17.37
110.00	3876.98	0.00	-647.20	82.41	16.52	17.60
111.00	3875.83	0.00	-653.01	82.82	16.21	17.83
112.00	3874.68	0.00	-658.82	83.23	15.90	18.05
113.00	3873.51	0.00	-664.62	83.64	15.59	18.27
114.00	3872.33	0.00	-670.43	84.04	15.28	18.49
115.00	3871.14	0.00	-676.23	84.43	14.97	18.70
116.00	3869.94	0.00	-682.03	84.82	14.65	18.91
117.00	3868.73	0.00	-687.83	85.20	14.34	19.12
118.00	3867.51	0.00	-693.62	85.77	14.09	19.19
119.00	3866.28	0.00	-699.42	86.40	13.85	19.21
120.00	3865.05	0.00	-705.21	87.02	13.62	19.23
121.00	3863.80	0.00	-711.00	87.65	13.37	19.25
122.00	3862.54	0.00	-716.79	88.28	13.13	19.26
123.00	3861.27	0.00	-722.57	88.90	12.88	19.27
124.00	3859.98	0.00	-728.35	89.53	12.62	19.27
125.00	3858.69	0.00	-734.13	90.16	12.36	19.27
126.00	3857.39	0.00	-739.91	90.79	12.10	19.26
127.00	3856.08	0.00	-745.69	91.41	11.83	19.25
128.00	3854.76	0.00	-751.46	91.66	11.77	19.17
129.00	3853.43	0.00	-757.24	91.85	11.74	19.09
130.00	3852.09	0.00	-763.01	92.05	11.71	19.01
131.00	3850.74	0.00	-768.77	92.24	11.68	18.94
132.00	3849.38	0.00	-774.54	92.44	11.65	18.86
133.00	3848.00	0.00	-780.30	92.65	11.63	18.79
134.00	3846.62	0.00	-786.06	92.89	11.60	18.73
135.00	3845.23	0.00	-791.82	93.14	11.58	18.67
136.00	3843.83	0.00	-797.57	93.39	11.55	18.61
137.00	3842.41	0.00	-803.33	93.65	11.52	18.55
138.00	3840.99	0.00	-809.07	93.80	11.35	18.45
139.00	3839.56	0.00	-814.82	93.94	11.17	18.34
140.00	3838.12	0.00	-820.57	94.08	10.99	18.24
141.00	3836.66	0.00	-826.31	94.21	10.81	18.14
142.00	3835.20	0.00	-832.05	94.34	10.63	18.04
143.00	3833.72	0.00	-837.79	94.46	10.45	17.94
144.00	3832.24	0.00	-843.53	94.59	10.27	17.84
145.00	3830.75	0.00	-849.26	94.70	10.09	17.74
146.00	3829.24	0.00	-854.99	94.81	9.90	17.65
147.00	3827.73	0.00	-860.71	94.92	9.72	17.55
148.00	3826.20	0.00	-866.44	95.01	9.57	17.59
149.00	3824.67	0.00	-872.16	95.11	9.42	17.62
150.00	3823.13	0.00	-877.88	95.20	9.27	17.65
151.00	3821.57	0.00	-883.60	95.30	9.12	17.68
152.00	3820.01	0.00	-889.31	95.39	8.97	17.71
153.00	3818.43	0.00	-895.02	95.49	8.83	17.74
154.00	3816.85	0.00	-900.73	95.59	8.69	17.76
155.00	3815.25	0.00	-906.44	95.69	8.54	17.79
156.00	3813.65	0.00	-912.14	95.80	8.40	17.81
157.00	3812.03	0.00	-917.84	95.90	8.26	17.82
158.00	3810.41	0.00	-923.54	95.99	8.18	17.79
159.00	3808.77	0.00	-929.23	96.08	8.10	17.75
160.00	3807.13	0.00	-934.93	96.17	8.03	17.71
161.00	3805.47	0.00	-940.62	96.25	7.95	17.67
162.00	3803.81	0.00	-946.30	96.34	7.87	17.62
163.00	3802.13	0.00	-951.99	96.42	7.79	17.58
164.00	3800.45	0.00	-957.67	96.51	7.71	17.54
165.00	3798.75	0.00	-963.34	96.59	7.63	17.49
166.00	3797.05	0.00	-969.02	96.68	7.56	17.44
167.00	3795.33	0.00	-974.69	96.76	7.48	17.39
168.00	3793.61	0.00	-980.36	96.90	7.42	17.38
169.00	3791.87	0.00	-986.03	97.04	7.36	17.37
170.00	3790.13	0.00	-991.69	97.19	7.29	17.37
171.00	3788.37	0.00	-997.35	97.34	7.23	17.37
172.00	3786.60	0.00	-1003.00	97.50	7.16	17.37
173.00	3784.83	0.00	-1008.66	97.65	7.10	17.37
174.00	3783.04	0.00	-1014.31	97.80	7.04	17.37
175.00	3781.25	0.00	-1019.96	97.95	6.97	17.38
176.00	3779.44	0.00	-1025.60	98.11	6.91	17.38
177.00	3777.63	0.00	-1031.24	98.26	6.85	17.38
178.00	3775.80	0.00	-1036.88	98.35	6.78	17.36
179.00	3773.97	0.00	-1042.51	98.42	6.71	17.34
180.00	3772.12	0.00	-1048.15	98.50	6.64	17.31
